id,dataset_type,description,ai_taxonomy,current_erms_taxonomy,raw_meta_data,ai_taxonomy_detail,ai_root_cause,ai_enrichment
1,controls,Authorization bypass in CRM System with operational delay,Cyber Risk,CR-001: Default Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_547"", ""tags"": [""urgent""]}, ""financial_impact"": {""amount"": 456947.59, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-18T13:09:20.124431"", ""acknowledged"": ""2025-08-27T13:09:20.124436"", ""resolved"": null}}","{""status"": ""resolved"", ""severity"": ""medium"", ""created_date"": ""2025-02-09T13:09:20.124445""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""technical_debt"", ""inadequate_training""], ""risk_indicators"": {""probability"": 0.8148055347719863, ""impact_score"": 6, ""risk_rating"": ""Very High""}}, ""remediation"": {""immediate_actions"": [""Action 1: System restart"", ""Action 2: System restart"", ""Action 3: Data correction""], ""long_term_solutions"": [""Solution 1: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_89"", ""technical_lead"": ""tech_80"", ""risk_reviewer"": ""risk_27""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P1"", ""assigned_to"": ""user_316"", ""tags"": [""resolved"", ""urgent""]}, ""financial_impact"": {""amount"": 751079.51, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-09-06T13:09:20.124462"", ""acknowledged"": ""2025-08-22T13:09:20.124463"", ""resolved"": null}}"
2,controls,Security breach detected in Settlement System with financial loss,Technology Risk,TR-002: Data Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P3"", ""assigned_to"": ""user_351"", ""tags"": [""resolved"", ""review""]}, ""financial_impact"": {""amount"": 243739.09, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-14T13:09:20.124471"", ""acknowledged"": ""2025-08-16T13:09:20.124472"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""low"", ""created_date"": ""2025-08-06T13:09:20.124475""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""communication_breakdown"", ""process_deviation""], ""risk_indicators"": {""probability"": 0.2879395338137092, ""impact_score"": 3, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Data correction"", ""Action 2: Process bypass""], ""long_term_solutions"": [""Solution 1: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_58"", ""technical_lead"": ""tech_61"", ""risk_reviewer"": ""risk_62""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P2"", ""assigned_to"": ""user_642"", ""tags"": [""resolved""]}, ""financial_impact"": {""amount"": 886076.12, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-15T13:09:20.124490"", ""acknowledged"": ""2025-09-01T13:09:20.124491"", ""resolved"": null}}"
3,controls,Configuration error in Trading Platform leading to service unavailability,Model Risk,LR-002: Market Liquidity Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_776"", ""tags"": [""escalated""]}, ""financial_impact"": {""amount"": 93210.26, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-26T13:09:20.124498"", ""acknowledged"": ""2025-09-06T13:09:20.124499"", ""resolved"": ""2025-09-01T13:09:20.124500""}}","{""status"": ""resolved"", ""severity"": ""medium"", ""created_date"": ""2025-02-07T13:09:20.124504""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""communication_breakdown"", ""technical_debt"", ""process_deviation""], ""risk_indicators"": {""probability"": 0.4662648496594237, ""impact_score"": 3, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Manual override"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: Control enhancement"", ""Solution 2: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_96"", ""technical_lead"": ""tech_71"", ""risk_reviewer"": ""risk_31""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P2"", ""assigned_to"": ""user_869"", ""tags"": [""review""]}, ""financial_impact"": {""amount"": 843450.97, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-20T13:09:20.124515"", ""acknowledged"": ""2025-08-14T13:09:20.124516"", ""resolved"": null}}"
4,controls,Data quality issue in CRM System leading to service unavailability,Operational Risk,OR-002: System Failure,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_186"", ""tags"": [""escalated"", ""urgent""]}, ""financial_impact"": {""amount"": 481741.09, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-30T13:09:20.124523"", ""acknowledged"": ""2025-08-19T13:09:20.124524"", ""resolved"": ""2025-08-26T13:09:20.124525""}}","{""status"": ""active"", ""severity"": ""medium"", ""created_date"": ""2024-09-27T13:09:20.124529""}","{""detailed_analysis"": {""root_cause_category"": ""system_failure"", ""contributing_factors"": [""communication_breakdown"", ""vendor_issue""], ""risk_indicators"": {""probability"": 0.8093476946656055, ""impact_score"": 9, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: System restart""], ""long_term_solutions"": [""Solution 1: Control enhancement"", ""Solution 2: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_58"", ""technical_lead"": ""tech_14"", ""risk_reviewer"": ""risk_53""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P3"", ""assigned_to"": ""user_270"", ""tags"": [""resolved"", ""review""]}, ""financial_impact"": {""amount"": 48272.39, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-21T13:09:20.124539"", ""acknowledged"": ""2025-09-05T13:09:20.124540"", ""resolved"": null}}"
5,controls,Configuration error in Trading Platform leading to audit findings,Model Risk,LR-002: Market Liquidity Risk,"{""metadata"": {""source"": ""manual"", ""priority"": ""P4"", ""assigned_to"": ""user_123"", ""tags"": [""monitoring"", ""resolved""]}, ""financial_impact"": {""amount"": 173206.47, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-20T13:09:20.124546"", ""acknowledged"": ""2025-08-14T13:09:20.124547"", ""resolved"": ""2025-08-21T13:09:20.124548""}}","{""status"": ""pending"", ""severity"": ""high"", ""created_date"": ""2025-03-27T13:09:20.124552""}","{""detailed_analysis"": {""root_cause_category"": ""human_error"", ""contributing_factors"": [""process_deviation""], ""risk_indicators"": {""probability"": 0.6534549351048423, ""impact_score"": 6, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: Manual override""], ""long_term_solutions"": [""Solution 1: Control enhancement""]}, ""stakeholders"": {""business_owner"": ""manager_28"", ""technical_lead"": ""tech_60"", ""risk_reviewer"": ""risk_55""}}","{""metadata"": {""source"": ""external"", ""priority"": ""P2"", ""assigned_to"": ""user_457"", ""tags"": [""resolved"", ""escalated"", ""review""]}, ""financial_impact"": {""amount"": 92126.22, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-14T13:09:20.124562"", ""acknowledged"": ""2025-08-17T13:09:20.124563"", ""resolved"": null}}"
6,controls,Performance degradation in Settlement System impacting service unavailability,Model Risk,OR-003: Human Error,"{""metadata"": {""source"": ""manual"", ""priority"": ""P1"", ""assigned_to"": ""user_249"", ""tags"": [""resolved"", ""escalated""]}, ""financial_impact"": {""amount"": 443830.75, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-11T13:09:20.124569"", ""acknowledged"": ""2025-08-18T13:09:20.124570"", ""resolved"": null}}","{""status"": ""pending"", ""severity"": ""low"", ""created_date"": ""2025-08-23T13:09:20.124574""}","{""detailed_analysis"": {""root_cause_category"": ""system_failure"", ""contributing_factors"": [""technical_debt"", ""communication_breakdown"", ""vendor_issue""], ""risk_indicators"": {""probability"": 0.6466281629610842, ""impact_score"": 6, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: Manual override"", ""Action 3: System restart""], ""long_term_solutions"": [""Solution 1: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_12"", ""technical_lead"": ""tech_65"", ""risk_reviewer"": ""risk_34""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P4"", ""assigned_to"": ""user_228"", ""tags"": [""review""]}, ""financial_impact"": {""amount"": 983656.84, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-31T13:09:20.124584"", ""acknowledged"": ""2025-08-21T13:09:20.124585"", ""resolved"": ""2025-09-01T13:09:20.124586""}}"
7,controls,Authorization bypass in Client Portal with financial loss,Cyber Risk,MR-002: FX Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P2"", ""assigned_to"": ""user_190"", ""tags"": [""urgent"", ""review"", ""resolved""]}, ""financial_impact"": {""amount"": 39737.05, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-17T13:09:20.124593"", ""acknowledged"": ""2025-08-26T13:09:20.124593"", ""resolved"": null}}","{""status"": ""active"", ""severity"": ""medium"", ""created_date"": ""2025-07-28T13:09:20.124597""}","{""detailed_analysis"": {""root_cause_category"": ""external_factor"", ""contributing_factors"": [""process_deviation"", ""vendor_issue""], ""risk_indicators"": {""probability"": 0.4643891377416879, ""impact_score"": 10, ""risk_rating"": ""Medium""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: Manual override""], ""long_term_solutions"": [""Solution 1: Control enhancement"", ""Solution 2: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_21"", ""technical_lead"": ""tech_32"", ""risk_reviewer"": ""risk_80""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P3"", ""assigned_to"": ""user_657"", ""tags"": [""escalated""]}, ""financial_impact"": {""amount"": 958354.48, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-12T13:09:20.124607"", ""acknowledged"": ""2025-08-24T13:09:20.124608"", ""resolved"": ""2025-09-07T13:09:20.124609""}}"
8,controls,Configuration error in CRM System leading to audit findings,Credit Risk,LR-001: Funding Risk,"{""metadata"": {""source"": ""system"", ""priority"": ""P4"", ""assigned_to"": ""user_370"", ""tags"": [""urgent""]}, ""financial_impact"": {""amount"": 86117.03, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-08-15T13:09:20.124615"", ""acknowledged"": ""2025-08-19T13:09:20.124616"", ""resolved"": ""2025-08-27T13:09:20.124617""}}","{""status"": ""resolved"", ""severity"": ""critical"", ""created_date"": ""2025-04-04T13:09:20.124620""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""system_overload"", ""inadequate_training""], ""risk_indicators"": {""probability"": 0.4413342973740966, ""impact_score"": 5, ""risk_rating"": ""Low""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override"", ""Action 2: Manual override""], ""long_term_solutions"": [""Solution 1: Control enhancement"", ""Solution 2: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_96"", ""technical_lead"": ""tech_80"", ""risk_reviewer"": ""risk_67""}}","{""metadata"": {""source"": ""manual"", ""priority"": ""P2"", ""assigned_to"": ""user_219"", ""tags"": [""resolved""]}, ""financial_impact"": {""amount"": 575409.38, ""currency"": ""USD"", ""estimated"": false}, ""timeline"": {""reported"": ""2025-09-01T13:09:20.124631"", ""acknowledged"": ""2025-08-28T13:09:20.124632"", ""resolved"": null}}"
9,controls,Authorization bypass in Data Warehouse with regulatory concern,Cyber Risk,LR-002: Market Liquidity Risk,"{""metadata"": {""source"": ""external"", ""priority"": ""P1"", ""assigned_to"": ""user_435"", ""tags"": [""urgent"", ""escalated""]}, ""financial_impact"": {""amount"": 688586.17, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-09-02T13:09:20.124638"", ""acknowledged"": ""2025-09-01T13:09:20.124639"", ""resolved"": ""2025-08-31T13:09:20.124640""}}","{""status"": ""resolved"", ""severity"": ""high"", ""created_date"": ""2025-09-05T13:09:20.124643""}","{""detailed_analysis"": {""root_cause_category"": ""system_failure"", ""contributing_factors"": [""system_overload""], ""risk_indicators"": {""probability"": 0.433017066598574, ""impact_score"": 6, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Manual override""], ""long_term_solutions"": [""Solution 1: Process redesign""]}, ""stakeholders"": {""business_owner"": ""manager_19"", ""technical_lead"": ""tech_20"", ""risk_reviewer"": ""risk_97""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_998"", ""tags"": [""escalated""]}, ""financial_impact"": {""amount"": 843212.89, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-09-06T13:09:20.124653"", ""acknowledged"": ""2025-08-16T13:09:20.124654"", ""resolved"": null}}"
10,controls,Compliance violation in Settlement System causing client disruption,Cyber Risk,OR-002: System Failure,"{""metadata"": {""source"": ""system"", ""priority"": ""P2"", ""assigned_to"": ""user_936"", ""tags"": [""monitoring""]}, ""financial_impact"": {""amount"": 794366.07, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-30T13:09:20.124660"", ""acknowledged"": ""2025-08-22T13:09:20.124661"", ""resolved"": ""2025-08-28T13:09:20.124662""}}","{""status"": ""active"", ""severity"": ""high"", ""created_date"": ""2025-06-12T13:09:20.124667""}","{""detailed_analysis"": {""root_cause_category"": ""process_gap"", ""contributing_factors"": [""communication_breakdown"", ""system_overload""], ""risk_indicators"": {""probability"": 0.47289890940150114, ""impact_score"": 1, ""risk_rating"": ""High""}}, ""remediation"": {""immediate_actions"": [""Action 1: Process bypass"", ""Action 2: Process bypass""], ""long_term_solutions"": [""Solution 1: Training program""]}, ""stakeholders"": {""business_owner"": ""manager_15"", ""technical_lead"": ""tech_25"", ""risk_reviewer"": ""risk_56""}}","{""metadata"": {""source"": ""system"", ""priority"": ""P1"", ""assigned_to"": ""user_435"", ""tags"": [""review"", ""resolved""]}, ""financial_impact"": {""amount"": 933580.87, ""currency"": ""USD"", ""estimated"": true}, ""timeline"": {""reported"": ""2025-08-18T13:09:20.124680"", ""acknowledged"": ""2025-09-03T13:09:20.124681"", ""resolved"": null}}"
