reference_id_code,parent_name,ama_peer_bank,description_of_event,nfr_taxonomy,loss_amount___m_,basel_business_line__level1_,basel_business_line__level_2,business_unit,ubs_business_division,event_risk_category,sub_risk_category,activity,country_of_incident,event_region,month__year_of_settlement,multiple_firms_impacted_code,single_event_multiple_loss_code,date_of_entry,nfr_taxonomy_number,root_cause,learning_outcome,impact,summary,ai_nfr_cluster,ai_nfr_taxonomy,ai_risk_theme,ai_reasoning_taxonomy_steps,ai_reasoning_risk_theme
fe4123ef-2509-4e47-88e9-57ec33933004,"Nguyen, Mccarty and Mann","James, Williams and Downs",Fraud incident occurred in Risk Assessment process.,Cybersecurity,48.14,Asset Management,Wealth Management,cultivate world-class communities,UBS Europe SE,Compliance Breach,Execution Errors,Client Onboarding,India,EMEA,11/2023,N,Y,2023-12-02,NFR-1764,Insider threat,The incident highlighted gaps in Transaction Settlement.,Moderate impact on operations and reputational risk.,Fraud event causing $74M loss.,AI Ops,Fraud,Outsourcing Risk,"Data Collection, Preprocessing, Model Selection",Risk due to Human Error in Client Onboarding.
0f8b3057-64b7-478f-a509-0c2b054094a0,Smith-Newman,Richardson LLC,Cybersecurity incident occurred in Trade Booking process.,Process Failures,52.46,Asset Management,Corporate Finance,envisioneer value-added interfaces,UBS Switzerland,Execution Errors,Internal Fraud,Risk Assessment,USA,APAC,11/2022,N,N,2023-01-24,NFR-2355,Insider threat,The incident highlighted gaps in Trade Booking.,Minimal impact on operations and reputational risk.,Process Failures event causing $66M loss.,AI Ops,Process Failures,Third-Party AI Risk,"Deployment, Preprocessing, Data Collection",Risk due to Model Risk in Trade Booking.
58a9205a-3c71-43c0-abd6-52ecf91e4052,Hutchinson-Fleming,Collins-Solis,Process Failures incident occurred in Risk Assessment process.,Process Failures,20.24,Corporate Finance,Asset Management,strategize intuitive schemas,UBS Europe SE,Internal Fraud,External Fraud,Transaction Settlement,USA,APAC,11/2023,N,N,2023-12-20,NFR-2236,Process gap,The incident highlighted gaps in Client Onboarding.,Severe impact on operations and reputational risk.,Cybersecurity event causing $12M loss.,AI Ops,Fraud,Third-Party AI Risk,"Deployment, Evaluation, Preprocessing",Risk due to Third-Party AI Risk in Trade Booking.
67bffd55-f40d-4452-8db0-a24e469a76c6,Diaz-Stark,Pierce-Hall,Third-Party Risk incident occurred in Transaction Settlement process.,Data Privacy,13.82,Retail Banking,Asset Management,architect real-time technologies,UBS UK Branch,Internal Fraud,Execution Errors,Trade Booking,Germany,AMERICAS,08/2024,N,N,2024-08-27,NFR-2864,Process gap,The incident highlighted gaps in Risk Assessment.,Severe impact on operations and reputational risk.,Fraud event causing $4M loss.,AI Governance,Fraud,Third-Party AI Risk,"Preprocessing, Evaluation, Deployment",Risk due to Human Error in Trade Booking.
b0011696-23aa-4765-984e-fa8c27deef92,"Meyer, Harris and Griffin","Chen, Allen and Torres",Data Privacy incident occurred in Transaction Settlement process.,Cybersecurity,61.11,Asset Management,Corporate Finance,architect open-source models,UBS Europe SE,Execution Errors,Internal Fraud,Trade Booking,Germany,EMEA,06/2022,N,Y,2022-07-18,NFR-8667,Vendor failure,The incident highlighted gaps in Client Onboarding.,Minimal impact on operations and reputational risk.,Fraud event causing $48M loss.,AI Compliance,Cybersecurity,Automation Risk,"Model Selection, Preprocessing, Data Collection",Risk due to Automation Risk in Client Onboarding.
e7ffc406-1a52-45fa-b31e-1f960c23dd3d,Hurley Inc,Martin Group,Process Failures incident occurred in Client Onboarding process.,Data Privacy,9.18,Wealth Management,Corporate Finance,disintermediate scalable e-tailers,UBS AG,Compliance Breach,Compliance Breach,Transaction Settlement,Singapore,AMERICAS,05/2024,N,N,2024-07-12,NFR-7707,System failure,The incident highlighted gaps in Transaction Settlement.,Minimal impact on operations and reputational risk.,Process Failures event causing $83M loss.,AI Governance,Third-Party Risk,Outsourcing Risk,"Preprocessing, Evaluation, Data Collection",Risk due to Outsourcing Risk in Client Onboarding.
56c24aaa-05fb-42de-b908-14600ab69590,"Brown, Moreno and Hill","Roth, Davis and Macias",Process Failures incident occurred in Trade Booking process.,Process Failures,49.97,Corporate Finance,Asset Management,deliver open-source e-markets,UBS Europe SE,Execution Errors,Compliance Breach,Trade Booking,India,EMEA,01/2024,Y,Y,2024-02-08,NFR-2374,Process gap,The incident highlighted gaps in Transaction Settlement.,Minimal impact on operations and reputational risk.,Data Privacy event causing $89M loss.,AI Ops,Process Failures,Third-Party AI Risk,"Deployment, Evaluation, Data Collection",Risk due to Human Error in Trade Booking.
78b21ddf-3c64-48f1-9fa7-01e466e1c92b,"Houston, Jones and Proctor","Stein, Peterson and Carter",Cybersecurity incident occurred in Risk Assessment process.,Third-Party Risk,19.97,Retail Banking,Wealth Management,synthesize rich mindshare,UBS UK Branch,Compliance Breach,External Fraud,Risk Assessment,Switzerland,EMEA,10/2022,N,Y,2022-10-26,NFR-4062,Insider threat,The incident highlighted gaps in Client Onboarding.,Minimal impact on operations and reputational risk.,Cybersecurity event causing $48M loss.,AI Governance,Data Privacy,Outsourcing Risk,"Model Selection, Data Collection, Preprocessing",Risk due to Human Error in Client Onboarding.
59ef6297-f8f4-47e6-8eb6-f75c0d066508,"Stuart, Nelson and Rodriguez",Rodgers LLC,Data Privacy incident occurred in Trade Booking process.,Data Privacy,82.21,Asset Management,Wealth Management,streamline bleeding-edge applications,UBS AG,External Fraud,Execution Errors,Transaction Settlement,USA,AMERICAS,06/2022,N,N,2022-06-27,NFR-8339,Vendor failure,The incident highlighted gaps in Transaction Settlement.,Severe impact on operations and reputational risk.,Cybersecurity event causing $62M loss.,AI Governance,Data Privacy,Model Risk,"Data Collection, Preprocessing, Evaluation",Risk due to Third-Party AI Risk in Client Onboarding.
be61e3ab-5fe1-445b-8be4-e6906cb6a1de,Charles and Sons,"Fleming, Castro and Weeks",Cybersecurity incident occurred in Risk Assessment process.,Cybersecurity,94.65,Wealth Management,Retail Banking,generate dynamic niches,UBS AG,External Fraud,External Fraud,Risk Assessment,USA,AMERICAS,04/2024,Y,N,2024-05-03,NFR-8888,Process gap,The incident highlighted gaps in Trade Booking.,Moderate impact on operations and reputational risk.,Process Failures event causing $15M loss.,AI Governance,Third-Party Risk,Automation Risk,"Model Selection, Preprocessing, Evaluation",Risk due to Human Error in Risk Assessment.
